checksum,ticketcount,expiredate,expiretime,timesent
52,001152878,10-05,11:25,09:25
48,001171490,18-05,21:20,19:20
62,001179893,23-05,10:22,08:22
97,001185019,25-05,11:01,09:01
00,001192654,28-05,19:15,17:15
39,001194230,30-05,09:57,07:57
22,001195690,30-05,20:00,18:00
86,001196641,31-05,10:31,08:31
75,001197941,31-05,19:59,17:59
21,001197942,01-06,10:32,08:32
78,001197943,01-06,19:49,17:49
11,001205853,05-06,21:31,19:31
43,001209989,07-06,18:09,16:09
87,001218187,11-06,00:42,22:42
63,001218716,11-06,14:46,12:46
76,001220169,12-06,13:27,11:27
32,001226785,16-06,09:59,07:59
04,001226792,16-06,10:00,08:00
04,001226799,16-06,10:01,08:01
97,001228291,16-06,22:28,20:28
21,001228741,17-06,09:58,07:58
66,001228742,17-06,10:01,08:01
81,001228743,17-06,16:51,14:51
93,001229968,17-06,19:45,17:45
25,001232268,19-06,20:49,18:49
25,001232277,19-06,21:01,19:01
42,001234404,21-06,08:50,06:50
42,001234458,21-06,09:01,07:01
90,001235900,21-06,20:35,18:35
80,001236172,22-06,00:38,22:38
36,001236587,22-06,10:24,08:24
23,001249569,29-06,10:59,08:59
47,001251234,29-06,23:46,21:46
25,001251235,30-06,10:00,08:00
87,001251236,01-07,11:30,09:30
03,001256366,02-07,00:52,22:52
40,001259422,04-07,09:22,07:22
13,001261832,05-07,09:38,07:38
12,001263752,05-07,21:01,19:01
73,001264014,06-07,01:07,23:07
16,001264523,06-07,10:18,08:18
77,001266471,06-07,23:16,21:16
92,001267115,07-07,10:58,08:58
92,001267141,07-07,11:06,09:06
38,001274181,10-07,00:46,22:46
33,001274182,10-07,19:50,17:50
45,001274183,11-07,11:29,09:29
63,001276351,11-07,16:02,14:02
06,001283399,14-07,10:24,08:24
70,001285242,14-07,21:05,19:05
07,001286033,15-07,11:20,09:20
25,001289706,17-07,12:30,10:30
55,001295479,20-07,10:08,08:08
23,001297407,21-07,00:16,22:16
98,001332058,09-08,19:50,17:50
16,001332791,10-08,09:38,07:38
21,001334737,11-08,09:43,07:43
84,001334738,12-08,09:41,07:41
94,001334739,13-08,01:26,23:26
43,001340250,15-08,01:02,23:02
42,001341310,16-08,09:41,07:41
73,001348831,20-08,01:20,23:20
03,001350288,20-08,23:16,21:16
06,001350634,21-08,13:29,11:29
19,001351683,22-08,10:30,08:30
02,001398350,13-09,09:30,07:30
85,001400767,14-09,08:46,06:46
16,001403509,15-09,10:19,08:19
02,001405490,15-09,21:08,19:08
78,001405491,16-09,10:17,08:17
89,001405492,16-09,22:51,20:51
84,001410144,18-09,01:44,23:44
83,001431465,27-09,10:03,08:03
34,001433551,27-09,23:17,21:17
00,001443663,01-10,22:01,20:01
69,001445455,03-10,11:00,09:00
07,001447931,04-10,10:03,08:03
32,001451166,05-10,15:31,13:31
62,001452628,06-10,00:17,22:17
30,001453177,06-10,10:01,08:01
11,001455144,06-10,23:54,21:54
72,001455145,07-10,10:03,08:03
44,001455146,08-10,20:26,18:26
32,001459789,09-10,13:47,11:47
13,001461148,10-10,11:02,09:02
11,001463538,11-10,10:01,08:01
24,001466324,12-10,10:58,08:58
86,001467765,12-10,19:58,17:58
79,001468900,13-10,11:02,09:02
68,001474146,14-10,22:01,20:01
49,001474539,15-10,10:26,08:26
82,001477837,17-10,11:02,09:02
89,001479591,17-10,21:59,19:59
10,001479592,18-10,12:28,10:28
33,001479593,18-10,15:31,13:31
17,001483027,19-10,11:30,09:30
77,001484169,19-10,18:59,16:59
96,001485523,20-10,11:16,09:16
68,001488759,21-10,17:12,15:12
43,001489782,21-10,21:58,19:58
43,001490627,22-10,16:02,14:02
57,001491417,22-10,20:51,18:51
75,001491654,22-10,23:44,21:44
98,001492423,23-10,20:33,18:33
97,001498768,26-10,11:20,09:20
92,001498770,26-10,13:55,11:55
26,001498771,26-10,20:58,18:58
91,001501320,27-10,10:23,08:23
93,001503219,27-10,21:00,19:00
45,001503990,28-10,10:21,08:21
64,001505967,28-10,21:57,19:57
33,001506266,29-10,01:54,23:54
09,001509277,31-10,12:29,10:29
22,001511145,01-11,01:50,23:50
56,001512292,02-11,10:21,08:21
89,001514033,02-11,20:55,18:55
86,001514654,03-11,09:19,07:19
47,001514655,03-11,17:59,15:59
42,001514656,04-11,00:36,22:36
70,001517404,04-11,11:17,09:17
77,001519446,05-11,01:57,23:57
06,001521412,06-11,14:55,12:55
29,001522865,07-11,11:22,09:22
01,001524436,07-11,20:58,18:58
20,001524599,07-11,23:50,21:50
71,001525410,08-11,11:48,09:48
93,001527272,08-11,22:00,20:00
34,001528127,09-11,11:03,09:03
15,001530499,10-11,09:47,07:47
04,001530501,11-11,00:52,22:52
66,001530502,11-11,11:01,09:01
90,000428887,28-01,00:15,22:15
62,000443868,01-02,11:35,09:35
00,000444086,01-02,16:04,14:04
54,000447727,04-02,14:47,12:47
38,000448127,04-02,18:46,16:46
99,000448826,05-02,12:15,10:15
79,000451735,08-02,16:23,14:23
43,000452071,08-02,19:25,17:25
21,000455189,11-02,09:02,07:02
58,000474125,27-02,16:23,14:23
26,000474511,27-02,20:32,18:32
87,000474512,01-03,16:21,14:21
81,000474513,01-03,19:12,17:12
18,000480006,04-03,10:50,08:50
94,000480241,04-03,14:35,12:35
03,000480496,04-03,17:31,15:31
67,000481328,05-03,10:32,08:32
97,000483799,07-03,16:52,14:52
37,000484009,07-03,21:14,19:14
24,000484433,08-03,11:20,09:20
52,000484728,08-03,15:59,13:59
56,000485160,08-03,19:28,17:28
77,000486201,09-03,17:00,15:00
03,000486202,19-03,23:29,21:29
48,000486203,20-03,15:59,13:59
18,000500446,20-03,19:05,17:05
60,000507961,26-03,18:27,16:27
49,000508385,26-03,23:05,21:05
26,000569554,14-05,20:41,18:41
68,000569700,14-05,22:57,20:57
90,000585330,28-05,12:49,10:49
11,000638429,07-07,10:25,08:25
16,000647104,13-07,14:12,12:12
45,000647356,13-07,16:44,14:44
64,000647357,20-07,15:43,13:43
30,000647358,19-08,22:01,20:01
59,000697017,23-08,20:01,18:01
75,000700159,25-08,23:05,21:05
72,000705158,30-08,17:35,15:35
45,000705739,30-08,22:49,20:49
70,000710963,03-09,14:42,12:42
20,000722702,12-09,18:20,16:20
28,000723077,13-09,09:16,07:16
76,000724929,14-09,10:44,08:44
97,000725526,14-09,17:42,15:42
00,000728262,16-09,10:13,08:13
19,000728263,16-09,20:34,18:34
55,000728264,17-09,14:00,12:00
88,000737112,21-09,21:58,19:58
83,000738964,22-09,22:13,20:13
05,000739547,23-09,10:24,08:24
80,000740949,24-09,01:50,23:50
78,000741244,24-09,09:49,07:49
01,000742489,24-09,21:49,19:49
00,000742699,25-09,02:17,00:17
74,000748970,29-09,19:32,17:32
26,000751195,01-10,01:58,23:58
23,000751618,01-10,10:33,08:33
58,000751619,04-10,10:53,08:53
09,000751620,21-10,12:27,10:27
45,000786906,22-10,18:53,16:53
43,000790987,25-10,19:38,17:38
06,000804711,04-11,01:50,23:50
52,000805085,04-11,11:03,09:03
99,000825840,16-11,23:46,21:46
48,000826498,17-11,12:39,10:39
13,000828262,18-11,10:50,08:50
53,000828723,18-11,15:50,13:50
81,000829342,18-11,19:40,17:40
06,000829681,18-11,22:30,20:30
06,000829684,18-11,22:31,20:31
06,000829682,18-11,22:30,20:30
06,000829683,18-11,22:30,20:30
06,000829686,18-11,22:32,20:32
06,000829688,18-11,22:40,20:40
06,000829690,18-11,22:48,20:48
06,000829695,18-11,22:59,20:59
06,000829704,18-11,23:03,21:03
06,000829697,18-11,23:00,21:00
06,000829725,18-11,23:25,21:25
35,000829803,19-11,04:38,02:38
35,000829804,19-11,04:45,02:45
87,000829805,19-11,10:13,08:13
81,000829806,19-11,14:23,12:23
52,001152878,10-05,11:25,09:25
48,001171490,18-05,21:20,19:20
62,001179893,23-05,10:22,08:22
97,001185019,25-05,11:01,09:01
00,001192654,28-05,19:15,17:15
39,001194230,30-05,09:57,07:57
22,001195690,30-05,20:00,18:00
86,001196641,31-05,10:31,08:31
75,001197941,31-05,19:59,17:59
21,001197942,01-06,10:32,08:32
78,001197943,01-06,19:49,17:49
11,001205853,05-06,21:31,19:31
43,001209989,07-06,18:09,16:09
87,001218187,11-06,00:42,22:42
63,001218716,11-06,14:46,12:46
76,001220169,12-06,13:27,11:27
32,001226785,16-06,09:59,07:59
04,001226792,16-06,10:00,08:00
04,001226799,16-06,10:01,08:01
97,001228291,16-06,22:28,20:28
21,001228741,17-06,09:58,07:58
66,001228742,17-06,10:01,08:01
81,001228743,17-06,16:51,14:51
93,001229968,17-06,19:45,17:45
25,001232268,19-06,20:49,18:49
25,001232277,19-06,21:01,19:01
42,001234404,21-06,08:50,06:50
42,001234458,21-06,09:01,07:01
90,001235900,21-06,20:35,18:35
80,001236172,22-06,00:38,22:38
36,001236578,22-06,10:24,08:24
23,001249569,29-06,10:59,08:59
47,001251234,29-06,23:46,21:46
25,001251235,30-06,10:00,08:00
87,001251236,01-07,11:30,09:30
03,001256366,02-07,00:52,22:52
40,001259422,04-07,09:22,07:22
13,001261832,05-07,09:38,07:38
12,001263752,05-07,21:01,19:01
73,001264014,06-07,01:07,23:07
16,001264523,06-07,10:18,08:18
77,001266471,06-07,23:16,21:16
92,001267115,07-07,10:58,08:58
92,001267141,07-07,11:06,09:06
38,001274181,10-07,00:46,22:46
33,001274182,10-07,19:50,17:50
45,001274183,11-07,11:29,09:29
52,001152878,10-05,11:25,09:25
48,001171490,18-05,21:20,19:20
62,001179893,23-05,10:22,08:22
97,001185019,25-05,11:01,09:01
00,001192654,28-05,19:15,17:15
39,001194230,30-05,09:57,07:57
22,001195690,30-05,20:00,18:00
86,001196641,31-05,10:31,08:31
75,001197941,31-05,19:59,17:59
21,001197942,01-06,10:32,08:32
78,001197943,01-06,19:49,17:49
11,001205853,05-06,21:31,19:31
43,001209989,07-06,18:09,16:09
87,001218187,11-06,00:42,22:42
63,001218716,11-06,14:46,12:46
76,001220169,12-06,13:27,11:27
32,001226785,16-06,09:59,07:59
04,001226792,16-06,10:00,08:00
04,001226799,16-06,10:01,08:01
97,001228291,16-06,22:28,20:28
21,001228741,17-06,09:58,07:58
66,001228742,17-06,10:01,08:01
81,001228743,17-06,16:51,14:51
93,001229968,17-06,19:45,17:45
25,001232268,19-06,20:49,18:49
25,001232277,19-06,21:01,19:01
42,001234404,21-06,08:50,06:50
42,001234458,21-06,09:01,07:01
90,001235900,21-06,20:35,18:35
80,001236172,22-06,00:38,22:38
36,001236587,22-06,10:24,08:24
23,001249569,29-06,10:59,08:59
47,001251234,29-06,23:46,21:46
25,001251235,30-06,10:00,08:00
87,001251236,01-07,11:30,09:30
03,001256366,02-07,00:52,22:52
40,001259422,04-07,09:22,07:22
13,001261832,05-07,09:38,07:38
12,001263752,05-07,21:01,19:01
73,001264014,06-07,01:07,23:07
16,001264523,06-07,10:18,08:18
77,001266471,06-07,23:16,21:16
92,001267115,07-07,10:58,08:58
92,001267141,07-07,11:06,09:06
38,001274181,10-07,00:46,22:46
33,001274182,10-07,19:50,17:50
45,001274183,11-07,11:29,09:29
63,001276351,11-07,16:02,14:02
06,001283399,14-07,10:24,08:24
70,001285242,14-07,21:05,19:05
07,001286033,15-07,11:20,09:20
25,001289706,17-07,12:30,10:30
55,001295479,20-07,10:08,08:08
23,001297407,21-07,00:16,22:16
98,001332058,09-08,19:50,17:50
16,001332791,10-08,09:38,07:38
21,001334737,11-08,09:43,07:43
84,001334738,12-08,09:41,07:41
94,001334739,13-08,01:26,23:26
43,001340250,15-08,01:02,23:02
42,001341310,16-08,09:41,07:41
73,001348831,20-08,01:20,23:20
03,001350288,20-08,23:16,21:16
06,001350634,21-08,13:29,11:29
19,001351683,22-08,10:30,08:30
02,001398350,13-09,09:30,07:30
85,001400767,14-09,08:46,06:46
16,001403509,15-09,10:19,08:19
02,001405490,15-09,21:08,19:08
78,001405491,16-09,10:17,08:17
89,001405492,16-09,22:51,20:51
84,001410144,18-09,01:44,23:44
83,001431465,27-09,10:03,08:03
34,001433551,27-09,23:17,21:17
00,001443663,01-10,22:01,20:01
69,001445455,03-10,11:00,09:00
07,001447931,04-10,10:03,08:03
32,001451166,05-10,15:31,13:31
62,001452628,06-10,00:17,22:17
30,001453177,06-10,10:01,08:01
11,001455144,06-10,23:54,21:54
72,001455145,07-10,10:03,08:03
44,001455146,08-10,20:26,18:26
32,001459789,09-10,13:47,11:47
13,001461148,10-10,11:02,09:02
11,001463538,11-10,10:01,08:01
24,001466324,12-10,10:58,08:58
86,001467765,12-10,19:58,17:58
79,001468900,13-10,11:02,09:02
68,001474146,14-10,22:01,20:01
49,001474539,15-10,10:26,08:26
82,001477837,17-10,11:02,09:02
89,001479591,17-10,21:59,19:59
10,001479592,18-10,12:28,10:28
33,001479593,18-10,15:31,13:31
17,001483027,19-10,11:30,09:30
77,001484169,19-10,18:59,16:59
96,001485523,20-10,11:16,09:16
68,001488759,21-10,17:12,15:12
43,001489782,21-10,21:58,19:58
43,001490627,22-10,16:02,14:02
57,001491417,22-10,20:51,18:51
75,001491654,22-10,23:44,21:44
98,001492423,23-10,20:33,18:33
97,001498768,26-10,11:20,09:20
92,001498770,26-10,13:55,11:55
26,001498771,26-10,20:58,18:58
91,001501320,27-10,10:23,08:23
93,001503219,27-10,21:00,19:00
45,001503990,28-10,10:21,08:21
64,001505967,28-10,21:57,19:57
33,001506266,29-10,01:54,23:54
09,001509277,31-10,12:29,10:29
22,001511145,01-11,01:50,23:50
56,001512292,02-11,10:21,08:21
89,001514033,02-11,20:55,18:55
86,001514654,03-11,09:19,07:19
47,001514655,03-11,17:59,15:59
42,001514656,04-11,00:36,22:36
70,001517404,04-11,11:17,09:17
77,001519446,05-11,01:57,23:57
06,001521412,06-11,14:55,12:55
29,001522865,07-11,11:22,09:22
01,001524436,07-11,20:58,18:58
20,001524599,07-11,23:50,21:50
71,001525410,08-11,11:48,09:48
93,001527272,08-11,22:00,20:00
34,001528127,09-11,11:03,09:03
15,001530499,10-11,09:47,07:47
04,001530501,11-11,00:52,22:52
66,001530502,11-11,11:01,09:01
80,001537537,13-11,13:50,11:50
40,001538298,14-11,00:49,22:49
04,001539054,14-11,11:20,09:20
97,001539753,14-11,17:01,15:01
53,001540696,14-11,20:48,18:48
72,001541589,15-11,10:20,08:20
